Angle,Pressure
-50,5.908736559
-49,6.1125
-48,6.32405914
-47,6.550537634
-46,6.785483871
-45,7.03655914
-44,7.297983871
-43,7.578360215
-42,7.868548387
-41,8.179973118
-40,8.582795699
-39,9.005645161
-38,9.452822581
-37,9.922580645
-36,10.41975806
-35,10.86169355
-34,11.33790323
-33,11.82997312
-32,12.36075269
-31,12.90981183
-30,13.50255376
-29,14.11370968
-28,14.77311828
-27,15.45336022
-26,16.18602151
-25,16.93844086
-24,17.74758065
-23,18.57620968
-22,19.46370968
-21,20.37069892
-20,21.34072581
-19,22.32567204
-18,23.3733871
-17,24.42943548
-16,25.5391129
-15,26.6452957
-14,27.79596774
-13,28.92876344
-12,30.09301075
-11,31.22634409
-10,32.37325269
-9,33.46962366
-8,34.55
-7,35.54932796
-6,36.49126344
-5,37.32715054
-4,38.08494624
-3,38.74005376
-2,39.35766129
-1,39.95927419
0,40.72069892
1,41.70013441
2,42.9719086
3,44.3780914
4,45.74623656
5,46.85456989
6,47.54905914
7,47.74919355
8,47.5219086
9,47.02728495
10,46.28575269
11,45.41626344
12,44.39704301
13,43.31801075
14,42.13333333
15,40.93051075
16,39.65201613
17,38.38064516
18,37.05725806
19,35.76397849
20,34.43776882
21,33.15981183
22,31.8625
23,30.62284946
24,29.37634409
25,28.19448925
26,27.01384409
27,25.90362903
28,24.80134409
29,23.76854839
30,22.74677419
31,21.7936828
32,20.85645161
33,19.98548387
34,19.13333333
35,18.34489247
36,17.57486559
37,16.86330645
38,16.1686828
39,15.52701613
40,14.90107527
41,14.32392473
42,13.75981183
43,13.23978495
44,12.73145161
45,12.26263441
46,11.80336022
47,11.38024194
48,10.96626344
49,10.58481183
50,10.20994624
51,9.864516129
52,9.525
53,9.212231183
54,8.903629032
55,8.619354839
56,8.338709677
57,8.080107527
58,7.822983871
59,7.586155914
60,7.352553763
61,7.1375
62,6.925134409
63,6.730510753
64,6.537903226
65,6.359811828
66,6.183064516
67,6.019892473
68,5.857123656
69,5.708198925
70,5.559274194
71,5.422446237
72,5.285349462
73,5.16061828
74,5.034274194
75,4.91922043
76,4.803360215
77,4.697715054
78,4.589919355
79,4.492204301
80,4.393413978
81,4.303494624
82,4.211962366
83,4.129301075
84,4.044892473
85,3.968951613
86,3.891801075
87,3.821370968
88,3.749462366
89,3.684408602
90,3.61733871
91,3.556586022
92,3.49516129
93,3.439784946
94,3.382123656
95,3.330107527
96,3.275672043
97,3.226478495
98,3.174731183
99,3.129032258
100,3.081048387
101,3.038844086
102,2.99422043
103,2.956048387
104,2.915053763
105,2.879032258
106,2.840053763
107,2.80672043
108,2.770430108
109,2.738709677
110,2.704166667
111,2.674327957
112,2.641263441
113,2.612096774
114,2.580376344
115,2.553629032
116,2.523924731
117,2.499596774
118,2.472043011
119,2.449462366
120,2.424193548
121,2.403763441
122,2.379435484
123,2.360483871
124,2.338306452
125,2.319892473
126,2.298521505
127,2.281586022
128,2.261021505
129,2.245026882
130,2.225806452
131,2.211290323
132,2.193413978
133,2.179973118
134,2.163037634
135,2.150134409
136,2.133467742
137,2.121102151
138,2.105913978
139,2.095026882
140,2.081182796
141,2.071505376
142,2.058602151
143,2.048521505
144,2.03561828
145,2.026478495
146,2.014516129
147,2.006451613
148,1.995967742
149,1.988575269
150,1.978091398
151,1.970430108
152,1.959543011
153,1.952284946
154,1.941935484
155,1.935752688
156,1.927284946
157,1.92311828
158,1.915591398
159,1.911693548
160,1.905241935
161,1.901612903
162,1.893817204
163,1.890725806
164,1.884543011
165,1.881182796
166,1.874596774
167,1.871639785
168,1.865456989
169,1.861693548
170,1.853494624
171,1.848521505
172,1.839919355
173,1.832392473
174,1.821370968
175,1.813978495
176,1.802822581
177,1.79422043
178,1.782392473
179,1.77405914
180,1.761155914
181,1.75094086
182,1.736962366
183,1.725537634
184,1.71061828
185,1.699327957
186,1.684677419
187,1.67311828
188,1.658870968
189,1.647849462
190,1.633333333
191,1.622043011
192,1.608333333
193,1.597983871
194,1.583870968
195,1.573790323
196,1.560483871
197,1.55
198,1.536155914
199,1.526478495
200,1.51344086
201,1.504032258
202,1.492607527
203,1.484811828
204,1.473790323
205,1.466129032
206,1.456048387
207,1.448790323
208,1.438844086
209,1.43266129
210,1.423655914
211,1.418682796
212,1.41061828
213,1.406586022
214,1.399462366
215,1.395430108
216,1.388306452
217,1.385215054
218,1.378629032
219,1.375537634
220,1.370564516
221,1.368951613
222,1.364919355
223,1.364247312
224,1.360887097
225,1.360752688
226,1.357258065
227,1.35672043
228,1.353494624
229,1.353763441
230,1.350537634
231,1.350806452
232,1.347177419
233,1.347043011
234,1.343817204
235,1.343548387
236,1.340456989
237,1.341129032
238,1.338306452
239,1.338844086
240,1.336693548
241,1.337096774
242,1.334677419
243,1.335752688
244,1.333064516
245,1.334005376
246,1.331451613
247,1.332258065
248,1.329166667
249,1.32983871
250,1.327150538
251,1.328763441
252,1.326478495
253,1.328629032
254,1.327419355
255,1.330376344
256,1.32983871
257,1.333333333
258,1.333467742
259,1.336424731
260,1.336155914
261,1.339919355
262,1.340725806
263,1.344892473
